Name,Address,Latitude,Longitude,Rating
Access Bank Plc Garki Branch,"Plot 1231 Ahmadu Bello Way, Abuja",9.0313645,7.495948299999999,4.2
Access Bank Plc Wuse 2 Branch,"Herbert Macaulay Way, Abuja",9.0670854,7.4650248,5.0
First Bank of Nigeria Limited - Central Business District,"Central Bank of Nigeria, Lagos",9.0502097,7.4941,3.0
First Bank,"40, Mambolo St, Wuse, Abuja",9.0599233,7.462391200000001,3.7
Access Bank Plc Garki Area 11 Branch,"Plot 599 Gwarjo Cl, Abuja",9.042582999999999,7.503535,4.0
Access Bank Plc,"1244 Samuel Ladoke Akintola Boulevard, Abuja",9.018782,7.4921269,4.2
First Bank,"Plot 1046 Ahmadu Bello Way, Abuja",9.0330386,7.497645500000001,3.5
First Bank Plc,"3C8J+7VM, Abuja",9.0657144,7.432169000000001,2.6
"Access Bank Plc Garki Abuja, Central Business Area","Constitution Ave Plot 273, Uacn Building, Abuja",9.0541171,7.481310899999999,4.4
"Access Bank Plc Ret Shop- Savannah Suites, Abj(013)","Savannah Suite Hotel, Faskari St, Abuja",9.029983999999999,7.476181899999999,4.3
Access Bank Plc Gwarinpa,"1st Avenue, Gwarinpa",9.099371,7.416928700000001,3.6
"Access Bank Plc Zone 5 Abuja, Michael Okpara Street","Michael Okpara St, Abuja",9.0578785,7.458186999999999,2.5
Access Bank Plc Wuse Market Branch,"Wuse Market Rd, Abuja",9.0674125,7.465959600000001,5.0
First Bank,"3F2P+PGJ, Abuja",9.0518302,7.4862536,5.0
Zenith Bank,"Nanka Cl, Abuja",9.056251699999999,7.465773599999999,4.6
Access Bank PLC,"1161 Sani Abacha Way, Abuja",9.0667513,7.483393700000001,3.3
Zenith Bank,"4FHR+GCX, Mape",9.1288828,7.491060000000001,3.7
"Access Bank Plc Garki Abuja, Ahmadu Bello Way","Plot 1486 Ahmadu Bello Way, Abuja",9.0225156,7.484180899999999,4.6
First Bank Of Nigeria,"750 Aminu Kano Cres, Abuja",9.0841535,7.4701345,2.7
First Bank Of Nigeria Mpape Branch,"4FMV+26V, Eneje opposite first bank Mpape Abuja fct Bwari area counsel, Mape",9.1325924,7.493084099999999,3.8
"First Bank Of Nigeria, Area 3, Garki","2FHG+JX2, Hadeija Close, Egbe Cl, Abuja",9.029027899999999,7.4774188,2.6
First Bank - Abuja Asokoro Branch,"85 Yakubu Gowon Cres, Aso",9.0451195,7.5272472,4.3
"Access Bank Plc Ret Shop - Gudu Market, Abuja (077)","Shop R144, Block 6, Gudu Electrical Parts Market, Abdulsalami Abubakar Rd, Abuja",8.9984456,7.4711008,3.1
First Bank - Abuja Shipper’s Plaza Branch,"Shippers Plaza, Plot 438 Michael Okpara St, Abuja",9.0605582,7.456440400000001,4.0
"Access Bank Plc Wuse Ii Abuja, Adetokunbo Ademola Crescent","Plot 21, Adetokunbo Ademola Cres, Abuja",9.0758803,7.476632599999999,3.3
"Access Bank Plc Wuse 2 Abuja, Aminu Kano Crescent","Banex Plaza, Aminu Kano Cres, Abuja",9.084387999999999,7.470225999999999,3.7
Diamond Bank,"1486 Ahmadu Bello Way, Abuja",9.022508,7.4836173,5.0
"Access Bank Plc Zone 4 Abuja, Herbert Macauley Way","Plot 2097 Herbert Macaulay Way, Abuja",9.0648632,7.4704767,4.0
First Bank - Abuja Wuse Branch,"Russel Centre, Block - 2097, Herbert Marcaulay Way, Zone 5, Abuja",9.0601489,7.456446400000001,2.8
Access Bank Plc Ret Shop -Area 1 Complex Abuja(077),"1st floor, Area 1 Shopping Centre, Moshood Abiola Rd, Abuja",9.03211,7.471550700000001,5.0
First Bank - Abuja Gwarimpa Branch,"3CQ7+X4W, Plot No. 430 1st Avenue, Gwarinpa",9.0901091,7.413351999999999,3.9
Access Bank Plc Gwarimpa Branch,"3rd Ave, Gwarinpa",9.098475299999999,7.409487400000001,2.9
First Bank - Abuja Maitama II Branch,"1, Zambezi Crescent, Off Aguiyi Ironsi St",9.080629499999999,7.491453,3.4
"Access Bank Plc Life Camp Abuja, Jabi-Karmo Road","Plot 176, Zuba Garki Rd, Abuja",9.066298,7.397937499999999,4.8
Bank of Agriculture,"2FPH+32J, Moshood Abiola Rd, Abuja",9.0352166,7.4775125,3.8
Union Bank,"67 Aminu Kano Cres, Abuja",9.076642399999999,7.4633012,2.4
Access Bank Plc Maitama Branch,"50 Gana St, Abuja",9.077857900000001,7.497739,4.1
Diamond Bank PLC - Garki Village,"Plot 283 Samuel Ladoke Akintola Boulevard, Abuja",9.0234639,7.488578899999998,4.0
Access Bank,"46,Lagos-Abuja Road",9.024032799999999,7.487642399999999,0.0
