Name,Address,Latitude,Longitude
Chi Ltd.,"534 Zone 800, Center Area, Abuja, FCT",9.0429024,7.471126900000001
SED-Ltd Office.,"SED-Ltd Office, Sunrise Hills, Aso",9.040482899999999,7.531981
JMT Plus Integrated Limited,"2nd Floor, 493 Abogo Largema St, Abuja",9.0466777,7.475017899999999
Management Edge Limited,"Suite A03, 3F2P+J5F Maina Court, Plot 252A Herbert Macaulay Way, Abuja",9.0516011,7.4854264
DCSL Corporate Services Limited,"The Statement Hotel, Plot 1002 1st Avenue, Off Shehu Shagari Way, Abuja",9.070445399999999,7.495283799999999
Paycom Global Services Ltd,"Swt F/F 30, Gen Plaza, Abuja",9.052653,7.4781832
Thlala Kolo Limited,"2FG7+6C8, Unnamed Road, Abuja",9.0255364,7.4635938
LoanBook Limited,"4th Floor, Yobe Investment House, Plot 1332, Abuja",9.0585927,7.489413099999998
Off-Field Concepts Ltd.,"Plot 472 Constitution Avenue, Central Business District Hafsat Plaza Suite C4 (Opposite World Trade Center, beside Churchgate Tower, Abuja",9.0485268,7.4743593
TEP Corporate services Ltd,"Suite F01, Rivers House, Plot 83 Ralph Shodeinde St, Abuja",9.0532565,7.499488599999999
M.Saleh And Company Limited,"Plot 989 Olusegun Obasanjo Way, Abuja",9.0544987,7.474588499999999
Lubell Nigeria Ltd,"Wilson Odunbaku Rd, Paipe",9.030213999999999,7.400982099999999
The Business People Limited,"8b Winnipeg close, off Panama St, Abuja",9.1089411,7.4819949
El Hanan Ventures Limited,"242 Mohammadu Buhari Way, Abuja",9.052204,7.480546899999999
Abdul One - International Ltd.,"C3, 2nd Floor, Kebbi House, Office complex, Kur Mohammed Way, Central Area, Abuja, Federal Capital Territory",9.06364,7.4923881
Primepex Limited,"Plaza, ASG Memorial Complex, Suite Ff4,16, Nkwere St, Abuja",9.033191,7.499275
Challydoff Limited,"Suite B24, TJ 1406 Business Suite, 7 Bozoum Close, Off Ademola Adetokunbo Cre. Behind AP Plaza, Wuse II",9.072771,7.476897999999999
PPL ProCloud Prostars Limited,"Rivers House, 83 Ralph Shodeinde St, opp. Federal Ministry of Finance, Abuja",9.0532565,7.499488599999999
Tiddo Securities Limited,"Labour House, First floor, left wing, Ahmadu Bello Way, behind Federal Ministry of Finance, Abuja",9.0581519,7.4861325
