Name,Address,Latitude,Longitude
Business Play Ltd,"Plot 690 Idris Gidado St, Abuja",9.0523805,7.446400400000001
The Business People Limited,"8b Winnipeg close, off Panama St, Abuja",9.1089411,7.4819949
God's Will Business Centre,Suite 4 Bamcar Shopping Complex Abuja,9.059185,7.454434
Business Concept,"11, Suite 211, 2Nd Floor, N. C.W.S House, Area, Abuja",9.0398151,7.5044352
Match making business,404 Minister hills Abuja Maitama District,9.086511999999999,7.481142999999999
My Business Clinic.ng,"Flat 4, Block B Lake Mall, Plot 260 Adamu Ciroma Cres, opp. Jabi, Abuja",9.0744861,7.429518400000001
Modern Business Services & Solutions Ltd,"Suite 22, Bataiya Plaza, Rahama Close, Off Dunukofia Street, Abuja",9.0435939,7.5017303
Ehub Business Consult,"Transengineering Estate, 22 James Garba Cres, Abuja",9.129122899999999,7.4036761
Business Leadership Consulting,"Enyo Retail & Supply, Olusegun Obasanjo Way, near GSM Village, Wupa",9.0545905,7.4678614
Bussiness Class Printing Hub,"Suit A001 Crowther Plaza, Plot 1055 Joseph Gomwalk St, Abuja",8.9984975,7.4775334
Business Venturing And Management Solutions Limited,"Suite B2, Royal Plaza, Tamale St, Abuja",9.0580956,7.469424699999998
Skilltimes Business management consultants,"27 Lingu Crescent, off Aminu Kano Cres, Abuja",9.071235699999999,7.4686583
Gola Business Centre,10 Abuja Shopping Complex Abuja Abuja Municipal,9.036252,7.484843
Magnates Business Club,"C2 Fudie Plaza, Mike Akhigbe Way, Abuja",9.072092699999999,7.4329814
EREM Business Building,"49MQ+57M, De Afemai Hotel, Galadima, Abuja",9.1329542,7.388161299999999
Mabiz Global Nigeria Limited,"Suite B14, Maina Court Plaza, Abuja",9.0515405,7.485491699999999
"Ed Business Consulting, Support Services Limited","Banex Plaza, Bs 125, Aminu Kano Cres, Abuja",9.084334900000002,7.467528799999999
Business Academy Africa,"5 Kwaji Cl, Abuja",9.0908239,7.474948299999999
Tandice-B Solutions Limited,"Bank of Industry Building, PLot 256, ground Floor, Abuja",9.050239000000001,7.488257000000001
