Name,Address,Latitude,Longitude,Rating,PriceLevel
Amala Oyo Place,"126 Aminu Kano Cres, Abuja",9.084560999999999,7.470841999999999,5.0,
Amala Oyo Joint (Mama Rhoda),Abuja,9.0082537,7.4682653,4.3,
Amala Villa,"1109 211 Rd, Abuja",9.102757,7.4189042,3.7,2.0
Amala Experience Restaurant,"4 Oyi River Street, Abuja",9.104431,7.486950900000001,4.2,
Alabama Global Resort,"2M2Q+626, Masaka",9.0005541,7.687543300000001,4.3,
Amala Joint Utako,"Plot 601 T.O.S. Benson Crescent, Abuja",9.0731444,7.451079300000001,4.0,1.0
Amala 360°,"17 Aminu Kano Cres, Abuja",9.0825376,7.4682679,3.9,2.0
Amala Bush Kitchen,"EMTO Plaza, 4th Ave, Abuja",9.117498399999999,7.4042311,3.8,2.0
Amala Hut,"43, Zone B, Apo Resettlement Main Road by Purple Stone Plaza Abuja AMAC, Abuja",8.981452599999999,7.504532699999999,4.0,2.0
Amala Shitta Maitama,"3FPF+J66, Aminu Kano Cres, Abuja",9.086549399999999,7.4730246,4.4,
Amala Republic,"2FJX+PGF, Abuja",9.031810499999999,7.498792199999999,4.3,
Amala Central,"108a Independence Ave, Abuja",9.050397499999999,7.485467799999999,4.4,2.0
Amala Arena,"Wood Bridge Garden Park, 70 Kur Mohammed Ave, Abuja",9.062627899999999,7.490880699999999,4.2,
Amala Plus Xtra,"Phase 4, 158 Gado Nasko Rd, Abuja",9.1541201,7.337407700000001,4.0,
Bariga Restaurant/Amala Joint,"magajipe village. FCT, 3 ICS Dr, Abuja",9.0574165,7.411581499999999,4.3,
Amala Connect FHA Lugbe,"1st Ave Fha, Lugbe",8.9815075,7.362439799999999,3.9,2.0
Amala Spot,"3F63+2MW, Abuja",9.0601156,7.4541898,4.3,
Ojuelegba Amala Point Lifecamp,"Lifecamp, 1049 Abubakar Koko Ave, Abuja",9.0855919,7.390969499999999,4.0,2.0
Amala Shitta Lokogoma,"XFJ3+RRX, Ring Rd 2, Abuja",8.9821228,7.4546033,3.6,
Ojuelegba Amala Point wuse,"Ayade Leisure Resort opposite City park, Plot 1261 Ahmadu Bello Way, Abuja",9.0749569,7.475014900000001,4.0,2.0
Soul Lounge,"55 Gado Nasko Rd, Abuja",9.142390599999999,7.3540973,4.0,
Mac Hotel and Resort,"6599+43G, Bida-Abuja Rd, Madalla",9.217825,7.1677091,3.6,
L'eola Suites Abuja,"1061 Herbert Macaulay Way, Abuja",9.0519147,7.486399100000001,4.4,
Grand Pela Hotel & Suites,"Plot 649, Cadastral Zone B02, Near American Int’l School, Durumi Area 1 Garki, 731 Sentinel Cres, Abuja",9.026859199999999,7.4595115,4.2,
Alim Royal Hotel & Suites,"A02 Cadastral Zone, Alim Royal close, Plot 9, 3 Ahmadu Bello Way, Abuja",9.0899964,7.4479037,4.0,
The 09 Lounge and Suites,"Zone 4, Abuja",9.064995999999999,7.474629500000001,0.0,
