Name,Address,Latitude,Longitude,Rating
Clinic Care Medical Services,"Zone 4, 35 Nouakchott St, Wupa",9.0531259,7.467601800000001,0.0
Clinic Care Hospital,"35 Nouakchott St, Wupa",9.0519208,7.4623771,4.0
Clinic Care Medical Services,"Zone 4, Abuja",9.0649953,7.474637200000001,1.0
National Judicial Council Clinic,"3G75+38P, Abuja",9.062720299999999,7.5083437,5.0
Kapital Hospital & Clinics,"Zone 6, 29 Yaounde St, Abuja",9.071919099999999,7.4531254,5.0
ROYAL SPECIALIST HOSPITAL,"Area 11, 2 Kukawa Street, Off Gimbiya St",9.0398217,7.5041242,4.5
H2 SPECIALITY CLINIC.,"18 T. Y. Danjuma St, Abuja",9.0353484,7.521754099999999,4.5
Vecad Clinic Limited,"Area 11, 4 Umuahia Close, Off Emeka Anyaoku St",9.0427355,7.496551699999999,4.0
Muhammadu Buhari hospital,"2, Abuja",9.0451093,7.503755399999999,4.2
Police Hospital,"Agbor Close, Abuja",9.0432595,7.4954143,0.0
Hospimed Clinics And Children Hospital,"1294 Bamanga Tukur, Abuja",9.0025718,7.485980700000001,4.7
Abuja Clinics Nigeria Limited,"22 Amazon St, Abuja",9.098612,7.484865900000001,3.8
Police Hospital Abuja,"Sokoto St, Abuja",9.0320467,7.470724199999998,5.0
Garki Hospital Abuja,"Area 8 Tafawa Balewa Rd, Abuja",9.033474199999999,7.485009,4.1
Hospital,"7Aminu, Kano Crescent, Abuja",9.0864235,7.4733754,5.0
NNPC clinic 1,"3FWP+HP8, Abuja",9.0964028,7.4868283,0.0
Queens Clinic Limited,"Plot 225, Zone 6, 38 Cotonou Cres, Abuja",9.0719158,7.4623369,4.9
Icpc Staff Clinic,"39GX+HCG, Abuja",9.076425,7.398567899999999,3.0
Modelcare hospital and dental clinic,"2GW3+855, Jaba Close, Abuja",9.0457518,7.502991499999999,3.4
The Limi Hospital,"1487 Lee Moses Iseko Street, Off Constitution Avenue, Central Area Behind ICPC/NDIC, Abuja",9.0429923,7.467967,4.0
Pick Specialist Hospital And Diagnostic Center,"6921a 6th Ave, Gwarinpa",9.118687099999999,7.380249600000001,5.0
Abuja Clinic,"19 Jos St, Abuja",9.0313909,7.479995399999999,4.5
Federal Staff Clinic,"4C7C+PC5, 2nd Ave, Gwarinpa",9.1142661,7.4211145,3.5
"NIA Clinic, Asokoro","2GQ5+VWF, Murtala Mohammed Expy, Abuja",9.0396965,7.5098071,4.2
VGC Estate Hospital,"2C8J+RVM, Unnamed Road, Abuja",9.0170896,7.432163600000001,4.2
Dr Hassans Clinic And Diagnostic Centre,"9, Ndjamena Crescent, Off Aminu Kano Cres",9.0808914,7.463680200000001,5.0
Dr Hassan's Hospital,"iller Crescent, 5 Katsina-Ala St, Abuja",9.0940183,7.495556499999999,4.3
Supreme Court Clinic,"3G63+QXH, Abuja",9.0619283,7.504984899999999,0.0
CBN Clinic,"9 Zaria St, Abuja",9.0295335,7.4964085,4.6
Jilf Clinic & Maternity,"3CJ7+46X, Gwarinpa",9.080374599999999,7.413108399999999,4.0
Celiaja Clinic & Maternity (Hospital),"XGJ4+8R8, Abuja",8.9807963,7.507072999999999,3.5
G And Specialist Clinic,Abuja,9.085198,7.4976536,0.0
MEV Specialist Hospital,"Freetown Street, 6 Djibouti Street, Abuja",9.074206,7.4865677,4.4
Crescent Clinic,"Area 2, Abuja",9.0322854,7.469151699999999,0.0
CardioCare Multispecialty Hospital (Limi Group),"Sec) Area 11, 5 Giza, off Dunukofia Street, opp. Federal Capital Development Authority, Abuja",9.0450541,7.5031477,4.6
City Hospital & Maternity,"Zone 5, Plot 2029 Algiers St, near High Court, Abuja",9.064567900000002,7.4594835,5.0
Capital Hospital & Maternity Ltd,"zone 1, 15, Oran Street, By Bank PHB, Olusegun Obasanjo Way",9.0519402,7.4629121,4.0
The Central Clinic,"3FHC+W87, Abuja",9.0797356,7.470853699999998,5.0
Praise Hospital,"2F9Q+MM2, Lagos Cres, Abuja",9.0191347,7.489135,0.0
Wesley Clinic,"Zone 3, Abuja",9.059645699999999,7.4719463,0.0
Able Hand Hospital & Clinic + Wellness Centre,"Plot 73B, Corner Shop Area, Gwarimpa,, 1st Avenue, Abuja",9.1139277,7.409301199999999,4.3
Royal Hospital,"16 Gwani St, Abuja",9.064602899999999,7.471709099999999,0.0
Angelic Care Hospital,"Oppo Tantalizer Ii, Plot 3 Ubiaja Cres, Abuja",9.0183929,7.4902322,1.0
Faith clinic,"2GV6+PJF, Shehu Shagari Way, Abuja",9.0443068,7.511533,0.0
Modelcare hospital,"1 Bilyamin Usman, Abuja",9.0687078,7.431521399999999,4.5
Angelic Care Hospital and Maternity,"19 Ngwa Cl, Abuja",9.0310433,7.486408699999999,3.1
st catherine's specialist hospital,"Odienna Cl, Abuja",9.076317099999999,7.459896400000001,3.6
The Limi Children's Hospital,"39 Adetokunbo Ademola Cres, Abuja",9.0707737,7.4867362,4.4
Royal Cheksed Specialist Hospital,"12 Y.P.O Shodeinde, Abuja",9.0721607,7.4407975,0.0
Midland Clinic,"2H35+QX5, New Karu",9.0043913,7.5599898,0.0
Jeff Clinic and Maternity,"3CPC+PR6, Abuja",9.0867782,7.4220153,0.0
Alliance Hospital,"Area 11, No 1- 5 Malumfashi Close, Off Emeka Anyaoku St, Abuja",9.0426781,7.495221300000001,4.3
"Marie Stopes Medical Centre, Abuja, Nigeria","Abuja Clinic - Utako Centre, 29 A.E. Ekukinam St, District",9.066423499999999,7.4401329,4.9
Menthand Physiotheraapy Clinic,"7 Ogbonnaya Onu, Abuja",9.013938399999999,7.4782379,5.0
Ishaku Hospital,"Zone 5, Abuja",9.065356099999999,7.4611619,0.0
DaniFlo Clinics,"Kado Kuchi AMAC, Abuja",9.076676599999999,7.398773699999999,5.0
Kinectic Hospital,"Plot 877 Ahoada Close, Off Emeka Anyaoku St",9.0461578,7.4963323,3.9
A. H Victory International Hospital,"XCWJ+4MJ, Main St, Galadima",8.995327,7.4316326,0.0
Health wise Hopital,"4C76+VCR, 451 Rd, Gwarinpa",9.1147253,7.411013400000001,5.0
Procare Hospital,"Plot 930 Salihu Illiyasu street Life Camp, Abubakar Koko Ave, Abuja",9.0810139,7.3982208,4.9
Clinic Care Medical Services,"Zone 4, 35 Nouakchott St, Wupa",9.0531259,7.467601800000001,0.0
Clinic Care Hospital,"35 Nouakchott St, Wupa",9.0519208,7.4623771,4.0
Clinic,"49RF+JG7, Alhaji, Dutse",9.1415463,7.373803799999999,0.0
Clinic Care Medical Services,"Zone 4, Abuja",9.0649953,7.474637200000001,1.0
